id,career,title,description,education,interests,subjects,career_type
42,seo_&_content_writer,SEO & Content Writer,Write engaging web content optimized for search engines and readers.,"BA English, BJMC, Any Degree","Media,Writing","English,Communication,Marketing",Media
43,journalist_&_media_reporter,Journalist & Media Reporter,"Investigate and report news stories for TV, print, or digital media.","BJMC, BA Journalism","Media,Writing","Journalism,Communication,Political Science",Media
44,3d_animator_&_visual_artist,3D Animator & Visual Artist,"Create 3D animations, special effects, and visual graphics.","B.Des, B.Sc Animation, Fine Arts","Design,Media","Design,3D Modeling",Design
45,patent_attorney,Patent Attorney,"Advise clients on intellectual property rights, patents, and trademarks.","B.Tech + LLB, LLM","Law,Business,Technology","Law,Patent Law,Technical Writing",Law
46,criminal_defense_lawyer,Criminal Defense Lawyer,Represent clients charged with criminal offenses in judicial courts.,"BA LLB, LLB, LLM",Law,"Law,Criminal Law,Public Speaking",Law
47,high_school_physics_teacher,High School Physics Teacher,Teach physics concepts to high school and senior secondary students.,"B.Sc + B.Ed, M.Sc","Education,Research","Physics,Mathematics,Education",Education
48,college_professor_computer_science,College Professor (Computer Science),"Conduct lectures, guide research, and teach university students.","Ph.D CS, M.Tech, MCA + NET","Education,Research,Technology","Computer Science,Research Methodology",Education
49,clinical_psychologist,Clinical Psychologist,"Diagnose and treat mental, emotional, and behavioral disorders.","BA/B.Sc Psychology, M.Sc, M.Phil","Medicine,Social Impact","Psychology,Biology,Communication",Medicine
50,clinical_research_associate,Clinical Research Associate,Coordinate and monitor clinical trials for new drugs and treatments.,"B.Pharm, B.Sc Biotech, M.Sc","Medicine,Research","Biology,Chemistry,Clinical Trials",Science
51,pharmacist,Pharmacist,Dispense medications and advise patients and doctors on drug usage.,"B.Pharm, D.Pharm","Medicine,Business","Chemistry,Biology,Pharmacology",Medicine
52,general_medical_practitioner,General Medical Practitioner,"Diagnose, treat, and manage general health conditions of patients.",MBBS,Medicine,"Biology,Chemistry,Medicine",Medicine
53,agricultural_officer,Agricultural Officer,Advise farmers and monitor rural agricultural schemes for government.,B.Sc Agriculture,"Government Jobs,Social Impact","Agriculture,Biology,Economics",Government
54,food_technologist,Food Technologist,"Examine food production, packaging, and safety standards.","B.Tech Food Tech, B.Sc Food Sci","Science,Research","Chemistry,Biology,Food Science",Science
55,environmental_consultant,Environmental Consultant,"Advise businesses and government on pollution, waste, and green policies.",B.Sc/B.Tech Environmental Sci,"Science,Social Impact","Biology,Chemistry,Environmental Law",Science
56,social_worker_ngo_manager,Social Worker (NGO Manager),Manage community welfare projects and assist vulnerable populations.,"MSW, BSW, Any Degree",Social Impact,"Sociology,Communication,Social Work",Social Impact
57,public_policy_analyst,Public Policy Analyst,"Evaluate government laws and policies, writing impact briefs.","MA Public Policy, BA, B.Sc","Social Impact,Government Jobs","Polity,Economics,Sociology",Social Impact
58,data_scientist,Data Scientist,Apply machine learning and statistics to extract insights from data.,"B.Tech CSE, M.Sc Stats, BCA","Technology,AI/ML,Research","Computer Science,Statistics,Linear Algebra",Data & AI
59,cybersecurity_consultant,Cybersecurity Consultant,Provide strategic cyber threat assessments for businesses.,"B.Tech CSE, BCA, MCA","Technology,Defence","Computer Science,Information Security",Technology
60,enterprise_risk_consultant,Enterprise Risk Consultant,Analyze operational and strategic risks in large corporations.,"B.Com, BBA, MBA","Business,Management","Management,Economics,Finance",Business
61,user_experience_researcher,User Experience Researcher,Perform user interviews and study usability to improve products.,"B.Des, BA Psychology, BCA","Design,Research","Design,Psychology,Communication",Design
62,solutions_architect,Solutions Architect,Translate business requirements into scalable technology designs.,"B.Tech, MCA","Technology,Business","Computer Science,Systems Architecture",Web & Cloud
63,robotics_software_engineer,Robotics Software Engineer,"Write control software, path planning, and computer vision for robots.",B.Tech CSE/ECE/Robotics,"Engineering,Technology,AI/ML","Computer Science,Mathematics,Physics",Engineering
64,biomedical_instrumentation_engineer,Biomedical Instrumentation Engineer,Design and maintain medical imaging and diagnostic equipment.,B.Tech Biomedical/ECE,"Engineering,Medicine","Electronics,Biology,Physics",Engineering
65,actuarial_analyst,Actuarial Analyst,Use mathematical modeling to assess risk in insurance and finance.,"B.Sc Actuarial, B.Sc Maths","Finance,Business","Mathematics,Statistics,Finance",Finance
66,financial_consultant,Financial Consultant,"Help individuals plan taxes, investments, and retirement savings.","B.Com, BBA, MBA","Finance,Business","Finance,Taxation,Economics",Finance
67,supply_chain_analyst,Supply Chain Analyst,Optimize logistical flows from raw materials to final customer delivery.,"B.Tech, BBA, MBA","Business,Management","Operations Research,Management",Management
68,brand_strategist,Brand Strategist,Develop positioning and creative concepts for consumer brands.,"BBA, MBA Marketing, BJMC","Business,Media","Marketing,Communication,Psychology",Business
69,media_planner,Media Planner,Determine the best channels and budgets for media campaigns.,"BBA, BJMC, B.Com","Media,Business","Marketing,Statistics,Communication",Media
70,technical_product_owner,Technical Product Owner,Bridge business requirements and developer backlogs in agile teams.,"B.Tech, BCA + Agile cert","Business,Technology,Management","Computer Science,Management,Scrum",Management
71,creative_director,Creative Director,"Lead design, styling, and visual identity for advertising agency.","B.Des, Fine Arts","Design,Media","Design,Graphic Design,Communication",Design
72,ip_litigation_specialist,IP Litigation Specialist,Represent technology and media firms in IP disputes.,"LLB, LLM","Law,Business","Law,Patent Law,Public Speaking",Law
73,public_prosecutor,Public Prosecutor,State-appointed lawyer prosecuting criminal cases on behalf of state.,LLB (qualified Bar exam),"Law,Government Jobs","Law,Criminal Law,Polity",Law
74,special_education_teacher,Special Education Teacher,Teach and assist children with learning or physical disabilities.,"B.Ed Special Ed, BA","Education,Social Impact","Psychology,Education,Communication",Education
75,data_visualization_specialist,Data Visualization Specialist,Create reports and dashboard visualizations for business intelligence.,"B.Sc CS, BCA, B.Com","Technology,Business","Data Visualization,SQL,Statistics",Data & AI
76,sre_engineer,SRE Engineer,Maintain uptime and reliability of distributed web systems.,"B.Tech CSE, BCA, MCA",Technology,"Computer Science,Networking,Docker",Web & Cloud
77,vlsi_verification_engineer,VLSI Verification Engineer,Write testbenches to verify microchip designs before manufacturing.,"B.Tech ECE, M.Tech VLSI","Engineering,Technology","Electronics,Digital Logic,C++",Engineering
78,embedded_firmware_developer,Embedded Firmware Developer,Write low-level code directly running on silicon microcontrollers.,B.Tech ECE/CSE,"Engineering,Technology","Electronics,C++,Computer Science",Engineering
79,iot_systems_architect,IoT Systems Architect,Design connected device networks connecting hardware sensors to cloud.,"B.Tech ECE/CSE, MCA","Engineering,Technology","Computer Science,Electronics,Cloud Computing",Engineering
80,aerodynamics_analyst,Aerodynamics Analyst,Run fluid dynamic simulations on vehicle and turbine bodies.,"B.Tech Aerospace/Mech, M.Tech","Engineering,Research","Physics,Mathematics,Calculus",Engineering
81,structural_design_engineer,Structural Design Engineer,Evaluate load capabilities of columns and beams for high-rises.,"B.Tech Civil, M.Tech Structural",Engineering,"Physics,Civil Engineering,CAD",Engineering
82,chemical_process_safety_specialist,Chemical Process Safety Specialist,Monitor safety thresholds in high-temperature chemical reactions.,B.Tech Chemical,Engineering,"Chemistry,Chemical Processes",Engineering
83,quantitative_finance_analyst,Quantitative Finance Analyst,Design mathematical pricing algorithms for derivative trading.,"B.Sc Maths/Stats, M.Sc Finance","Finance,Business,Research","Mathematics,Statistics,Finance",Finance
84,arbitrage_trader,Arbitrage Trader,Execute rapid trades exploiting price gaps across exchanges.,"B.Com, B.Sc Maths","Finance,Business","Finance,Economics,Mathematics",Finance
85,corporate_treasury_analyst,Corporate Treasury Analyst,"Manage cash flows, forex reserves, and corporate debt accounts.","B.Com, MBA Finance","Finance,Business","Finance,Accounting,Economics",Finance
86,hr_recruitment_specialist,HR Recruitment Specialist,"Source, interview, and match candidates to open client vacancies.","MBA HR, BBA","Business,Management","Management,Communication,Psychology",Management
87,digital_marketing_specialist,Digital Marketing Specialist,Manage search and paid social advertising budgets for brands.,"BBA, BJMC, Any Degree","Business,Media","Marketing,Communication,SEO",Business
88,news_editor,News Editor,Review and refine copy written by reporters before publication.,"BJMC, BA English","Media,Writing","English,Journalism,Communication",Media
89,illustrator_&_concept_artist,Illustrator & Concept Artist,Sketch storyboards and vector illustrations for publishing.,"B.Des, Fine Arts","Design,Media","Design,Graphic Design",Design
90,regulatory_affairs_specialist,Regulatory Affairs Specialist,Ensure medical trials and pharmaceutical filings meet government rules.,"B.Pharm, B.Sc, M.Sc","Medicine,Research","Biology,Chemistry,Environmental Law",Science
91,bioinformatics_analyst,Bioinformatics Analyst,Analyze DNA sequencing datasets using computing algorithms.,"B.Sc Bioinfo, B.Tech CSE","Science,Research,Technology","Biology,Computer Science,Statistics",Science
92,organic_chemist,Organic Chemist,Synthesize chemical compounds for drugs in clinical labs.,"B.Sc, M.Sc Chemistry","Science,Research","Chemistry,Chemistry Lab",Science
93,academic_counsellor,Academic Counsellor,Assist school students in choosing streams and higher studies.,"BA Psychology, B.Ed, Any Degree","Education,Social Impact","Psychology,Communication,Social Work",Education
94,disaster_relief_coordinator,Disaster Relief Coordinator,Manage emergency distribution and aid logistics in disaster zones.,"BSW, MSW, Any Degree","Social Impact,Government Jobs","Social Work,Leadership,Communication",Social Impact
95,urban_policy_researcher,Urban Policy Researcher,Collect socioeconomic metrics to draft public housing policies.,"MA Sociology, BA Econ","Social Impact,Research","Sociology,Economics,Polity",Social Impact
96,corporate_social_responsibility_lead,Corporate Social Responsibility Lead,Direct corporate donation budgets to verified community NGOs.,"MSW, MBA Social Enterprise","Social Impact,Business","Social Work,Management,Communication",Social Impact
97,system_security_architect,System Security Architect,Design overarching security boundaries for IT networks.,"B.Tech CSE, MCA","Technology,Defence","Computer Science,Information Security,Networking",Technology
98,e_commerce_category_manager,E-commerce Category Manager,"Select inventory, set pricing, and manage vendors for online stores.","BBA, MBA","Business,Management","Management,Economics,Marketing",Management
99,speech_&_language_therapist,Speech & Language Therapist,Treat speech impairments in children and stroke survivors.,B.ASLP,"Medicine,Social Impact","Biology,Psychology,Communication",Medicine
100,horticulturist,Horticulturist,"Improve yield and quality of fruits, vegetables, and ornamental plants.",B.Sc Horticulture,"Science,Social Impact","Agriculture,Biology",Science
