education,branch,skills,interests,career_goal,experience,recommended_career
Undergraduate,Business/BBA,"Business Strategy,Marketing,SEO,Leadership","Entrepreneurship,Management",Product Manager,"1 projects, 0 internships",Product Manager
Class 12,PCM Stream,"Problem Solving,Mathematics,Communication,Writing,Chemistry Lab",Research,Civil Servant (IAS/IPS),"0 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Electronics & Communication,"Kubernetes,Mathematics,Python,Linear Algebra,AWS,Data Structures","Technology,Engineering",IoT Systems Architect,"2 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Electronics & Communication,"Docker,Figma,AWS,Data Structures,Physics Lab,Mathematics","Research,Technology",IoT Systems Architect,"0 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Commerce/B.Com,"Problem Solving,Economics,Time Management,SQL,Communication",Government Jobs,Financial Consultant,"0 projects, 0 internships",Chartered Accountant
Undergraduate,Commerce/B.Com,"Financial Accounting,Taxation,Time Management,Scrum,Data Analytics,Economics","Business,Government Jobs",Unknown Career,"1 projects, 0 internships",Chartered Accountant
Undergraduate,Law/LLB,"Negotiation,Technical Writing,Legal Writing",Social Impact,Public Prosecutor,"1 projects, 0 internships",Corporate Lawyer
Undergraduate,Electronics & Communication,"Kubernetes,Python,Physics Lab,AWS,Linear Algebra,Figma","Research,Technology,Engineering",VLSI Design Engineer,"2 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Science/B.Sc,"Data Analytics,SQL,Mathematics","Research,Business",Data Analyst,"2 projects, 1 internships",Data Analyst
Undergraduate,Business/BBA,"SEO,Product Management,Business Strategy,Project Management,Marketing,Communication",Management,Management Consultant,"1 projects, 0 internships",Product Manager
Undergraduate,Law/LLB,"Law,Technical Writing,Legal Writing,Leadership,Constitutional Law","Law,Social Impact,Government Jobs",Corporate Lawyer,"1 projects, 1 internships",Corporate Lawyer
Undergraduate,Law/LLB,"Leadership,Law,Legal Writing,Technical Writing","Law,Social Impact",Patent Attorney,"1 projects, 1 internships",Corporate Lawyer
Undergraduate,Law/LLB,"Technical Writing,Public Speaking,Constitutional Law","Law,Social Impact,Government Jobs",Corporate Lawyer,"2 projects, 1 internships",Corporate Lawyer
Undergraduate,Science/B.Sc,"Data Analytics,Mathematics,Python,Pandas","Finance,Business,Technology",Actuarial Analyst,"0 projects, 1 internships",Data Analyst
Undergraduate,Business/BBA,"Marketing,Leadership,SEO,Communication,Public Speaking",Entrepreneurship,Product Manager,"1 projects, 1 internships",Product Manager
Undergraduate,Commerce/B.Com,"Communication,Time Management,Data Analytics,Problem Solving,SQL","Business,Government Jobs",Financial Consultant,"2 projects, 0 internships",Chartered Accountant
Undergraduate,Computer Science,"JavaScript,HTML,Python","AI/ML,Technology",Data Scientist,"2 projects, 1 internships",Software Engineer
Undergraduate,Science/B.Sc,"SQL,Python,Communication,Statistics,NumPy,Data Analytics","Technology,Business",Data Scientist,"0 projects, 1 internships",Data Analyst
Undergraduate,Electronics & Communication,"Figma,C++,Data Structures,Kubernetes,Linear Algebra,Python","Research,Engineering,Technology",Network Security Engineer,"2 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Business/BBA,"Business Strategy,Communication,Product Management,Sales","Management,Entrepreneurship,Business",Management Consultant,"0 projects, 0 internships",Product Manager
Undergraduate,Business/BBA,"Product Management,Sales,Leadership",Entrepreneurship,Marketing Manager,"2 projects, 1 internships",Product Manager
Undergraduate,Computer Science,"CSS,React,C++,Java,HTML","Technology,Business",Data Scientist,"1 projects, 1 internships",Software Engineer
Undergraduate,Commerce/B.Com,"Problem Solving,Data Analytics,Financial Accounting,Taxation,Time Management,SQL",Government Jobs,Chartered Accountant,"0 projects, 1 internships",Chartered Accountant
Undergraduate,Electronics & Communication,"Kubernetes,Physics Lab,Data Structures,C++,Docker","Engineering,Technology,Research",Network Security Engineer,"2 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Electronics & Communication,"Kubernetes,C++,AWS",Research,Network Security Engineer,"0 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Business/BBA,"Business Strategy,Communication,Leadership,Sales","Business,Entrepreneurship",Management Consultant,"0 projects, 1 internships",Product Manager
Undergraduate,Science/B.Sc,"Python,Data Visualization,Communication,SQL,Statistics,Data Analytics",Business,Financial Risk Analyst,"1 projects, 0 internships",Data Analyst
Undergraduate,Electronics & Communication,"Linear Algebra,Figma,Mathematics,C++,AWS",Technology,VLSI Design Engineer,"2 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Law/LLB,"Constitutional Law,Leadership,Legal Writing,Technical Writing,Negotiation","Law,Government Jobs",Criminal Defense Lawyer,"0 projects, 1 internships",Corporate Lawyer
Undergraduate,Law/LLB,"Law,Legal Writing,Negotiation,Public Speaking,Technical Writing","Law,Government Jobs,Social Impact",Public Prosecutor,"1 projects, 0 internships",Corporate Lawyer
Undergraduate,Science/B.Sc,"Communication,Pandas,Python,Statistics,Mathematics","Business,Research,Technology",Actuarial Analyst,"0 projects, 0 internships",Data Analyst
Undergraduate,Law/LLB,"Legal Writing,Public Speaking,Law","Law,Government Jobs,Social Impact",Criminal Defense Lawyer,"0 projects, 1 internships",Corporate Lawyer
Undergraduate,Computer Science,"Node.js,SQL,Algorithms,Java","AI/ML,Technology",Software Engineer,"0 projects, 1 internships",Software Engineer
Undergraduate,Electronics & Communication,"Data Structures,Linear Algebra,Figma,Physics Lab,C++","Engineering,Research,Technology",VLSI Design Engineer,"0 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Business/BBA,"Business Strategy,Communication,Project Management,SEO","Business,Media,Management",Marketing Manager,"1 projects, 1 internships",Product Manager
Undergraduate,Electronics & Communication,"Docker,Mathematics,Physics Lab,Linear Algebra,C++",Technology,Embedded Systems Engineer,"1 projects, 0 internships",Embedded Systems Engineer
Class 12,PCM Stream,"Mathematics,Communication,Problem Solving,Python","Engineering,Research,Defence",Defense Officer (Army/Navy/Air Force),"1 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Electronics & Communication,"Figma,Physics Lab,AWS,Docker,Linear Algebra",Research,VLSI Design Engineer,"2 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Commerce/B.Com,"Economics,Time Management,Problem Solving,Financial Accounting,Scrum,SQL",Finance,Chartered Accountant,"0 projects, 0 internships",Chartered Accountant
Undergraduate,Science/B.Sc,"NumPy,Python,Communication,SQL,Statistics,Pandas",Research,Actuarial Analyst,"2 projects, 1 internships",Data Analyst
Undergraduate,Electronics & Communication,"C++,Figma,AWS,Mathematics","Research,Technology",VLSI Design Engineer,"2 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Law/LLB,"Constitutional Law,Law,Legal Writing,Technical Writing,Leadership,Public Speaking","Law,Government Jobs",Corporate Lawyer,"1 projects, 1 internships",Corporate Lawyer
Undergraduate,Business/BBA,"SEO,Business Strategy,Communication",Media,Marketing Manager,"1 projects, 0 internships",Product Manager
Undergraduate,Computer Science,"Node.js,Java,SQL","Technology,Business,AI/ML",AI/ML Engineer,"0 projects, 0 internships",Software Engineer
Undergraduate,Commerce/B.Com,"Taxation,SQL,Economics","Government Jobs,Finance,Business",Chartered Accountant,"2 projects, 0 internships",Chartered Accountant
Undergraduate,Electronics & Communication,"AWS,Linear Algebra,Data Structures","Technology,Research,Engineering",IoT Systems Architect,"0 projects, 1 internships",Embedded Systems Engineer
Class 12,PCM Stream,"Physics Lab,Writing,Chemistry Lab,Python,Mathematics",Engineering,Defense Officer (Army/Navy/Air Force),"0 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Commerce/B.Com,"Problem Solving,Taxation,Scrum,SQL,Economics,Data Analytics","Government Jobs,Business,Finance",Investment Banker,"2 projects, 0 internships",Chartered Accountant
Undergraduate,Commerce/B.Com,"Data Analytics,Taxation,Communication","Government Jobs,Finance,Business",Unknown Career,"1 projects, 0 internships",Chartered Accountant
Undergraduate,Electronics & Communication,"AWS,Docker,Physics Lab,Linear Algebra,Figma,Mathematics","Engineering,Technology,Research",IoT Systems Architect,"1 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Commerce/B.Com,"Problem Solving,Taxation,Data Analytics,Scrum","Finance,Government Jobs",Financial Consultant,"1 projects, 1 internships",Chartered Accountant
Undergraduate,Science/B.Sc,"Pandas,Python,Mathematics,Communication,Data Analytics,Statistics","Finance,Technology,Research",Actuarial Analyst,"2 projects, 1 internships",Data Analyst
Undergraduate,Computer Science,"Node.js,Git,SQL,Java","Technology,Business,AI/ML",DevOps Engineer,"1 projects, 1 internships",Software Engineer
Undergraduate,Electronics & Communication,"AWS,Docker,Linear Algebra,Mathematics,Data Structures,Kubernetes",Technology,VLSI Design Engineer,"0 projects, 1 internships",Embedded Systems Engineer
Class 12,PCM Stream,"Python,Mathematics,Physics Lab,Problem Solving","Defence,Engineering",Defense Officer (Army/Navy/Air Force),"2 projects, 1 internships",Civil Servant (IAS/IPS)
Undergraduate,Computer Science,"CSS,React,HTML,Algorithms","Business,Technology",Cloud Architect,"0 projects, 1 internships",Software Engineer
Undergraduate,Business/BBA,"Public Speaking,SEO,Leadership,Sales","Management,Entrepreneurship,Business",Management Consultant,"2 projects, 0 internships",Product Manager
Undergraduate,Electronics & Communication,"Data Structures,Kubernetes,Physics Lab,Figma","Technology,Research,Engineering",Network Security Engineer,"0 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Electronics & Communication,"C++,Mathematics,Docker,AWS","Research,Technology",Embedded Systems Engineer,"0 projects, 1 internships",Embedded Systems Engineer
Class 12,PCM Stream,"Chemistry Lab,Problem Solving,Python,Writing,Mathematics","Government Jobs,Engineering",Defense Officer (Army/Navy/Air Force),"1 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Computer Science,"HTML,CSS,Data Structures,REST APIs","Business,AI/ML,Technology",AI/ML Engineer,"2 projects, 1 internships",Software Engineer
Undergraduate,Commerce/B.Com,"Time Management,Problem Solving,Financial Accounting,Data Analytics",Government Jobs,Financial Consultant,"0 projects, 1 internships",Chartered Accountant
Undergraduate,Business/BBA,"Project Management,Marketing,Leadership,Product Management,SEO,Communication",Business,Marketing Manager,"2 projects, 0 internships",Product Manager
Undergraduate,Science/B.Sc,"Statistics,NumPy,Data Visualization,Python","Business,Technology",Data Scientist,"0 projects, 0 internships",Data Analyst
Undergraduate,Business/BBA,"Product Management,Communication,Business Strategy,Leadership","Entrepreneurship,Business",Product Manager,"1 projects, 1 internships",Product Manager
Undergraduate,Law/LLB,"Leadership,Law,Negotiation,Constitutional Law,Public Speaking","Government Jobs,Law",Corporate Lawyer,"2 projects, 1 internships",Corporate Lawyer
Class 12,PCM Stream,"Python,Writing,Physics Lab","Defence,Engineering,Research",Research Scientist,"0 projects, 0 internships",Civil Servant (IAS/IPS)
Undergraduate,Electronics & Communication,"Linear Algebra,C++,Mathematics",Technology,Embedded Systems Engineer,"0 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Computer Science,"REST APIs,React,HTML,CSS,Data Structures,JavaScript","Business,AI/ML",AI/ML Engineer,"1 projects, 0 internships",Software Engineer
Undergraduate,Science/B.Sc,"Mathematics,Python,Communication,Data Analytics","Research,Technology",Data Scientist,"2 projects, 0 internships",Data Analyst
Undergraduate,Science/B.Sc,"Communication,Data Analytics,Statistics,Python,Pandas","Technology,Business",Financial Risk Analyst,"1 projects, 0 internships",Data Analyst
Undergraduate,Business/BBA,"Public Speaking,Communication,Marketing,SEO,Project Management","Business,Management,Entrepreneurship",Marketing Manager,"0 projects, 0 internships",Product Manager
Undergraduate,Law/LLB,"Leadership,Negotiation,Legal Writing,Technical Writing,Communication,Public Speaking","Government Jobs,Law,Social Impact",Public Prosecutor,"0 projects, 1 internships",Corporate Lawyer
Undergraduate,Electronics & Communication,"C++,Data Structures,Figma,Python","Technology,Research,Engineering",Network Security Engineer,"0 projects, 1 internships",Embedded Systems Engineer
Undergraduate,Law/LLB,"Law,Public Speaking,Leadership,Constitutional Law","Government Jobs,Social Impact",Corporate Lawyer,"0 projects, 0 internships",Corporate Lawyer
Undergraduate,Business/BBA,"Business Strategy,Communication,Leadership,Public Speaking,Project Management",Media,Product Manager,"2 projects, 1 internships",Product Manager
Undergraduate,Business/BBA,"Leadership,Business Strategy,Sales,Project Management",Management,Management Consultant,"0 projects, 0 internships",Product Manager
Undergraduate,Commerce/B.Com,"Economics,Data Analytics,SQL,Financial Accounting,Scrum,Communication",Business,Unknown Career,"0 projects, 0 internships",Chartered Accountant
Undergraduate,Electronics & Communication,"Docker,Mathematics,Kubernetes,Linear Algebra,Python","Research,Technology,Engineering",VLSI Design Engineer,"2 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Business/BBA,"Communication,Business Strategy,Marketing,Project Management,Leadership,Product Management","Media,Business,Entrepreneurship",Product Manager,"1 projects, 1 internships",Product Manager
Undergraduate,Law/LLB,"Law,Public Speaking,Communication",Law,Criminal Defense Lawyer,"0 projects, 0 internships",Corporate Lawyer
Undergraduate,Electronics & Communication,"Mathematics,Kubernetes,Linear Algebra,AWS,Python,Data Structures",Research,IoT Systems Architect,"1 projects, 0 internships",Embedded Systems Engineer
Undergraduate,Commerce/B.Com,"Taxation,SQL,Economics,Time Management",Finance,Unknown Career,"1 projects, 0 internships",Chartered Accountant
Undergraduate,Law/LLB,"Law,Communication,Legal Writing,Technical Writing",Government Jobs,Patent Attorney,"0 projects, 1 internships",Corporate Lawyer
Undergraduate,Science/B.Sc,"Data Analytics,Data Visualization,Statistics,Mathematics",Research,Data Analyst,"2 projects, 0 internships",Data Analyst
Undergraduate,Computer Science,"SQL,Git,JavaScript,REST APIs,Java","Business,Technology",Data Scientist,"2 projects, 1 internships",Software Engineer
Undergraduate,Commerce/B.Com,"Taxation,Scrum,SQL,Communication,Financial Accounting,Time Management","Business,Government Jobs",Chartered Accountant,"0 projects, 1 internships",Chartered Accountant
