career_id,skill_id,importance
70,75,MEDIUM
71,50,HIGH
71,66,HIGH
71,67,MEDIUM
71,70,MEDIUM
71,72,MEDIUM
71,73,MEDIUM
71,74,MEDIUM
72,67,MEDIUM
72,68,HIGH
72,72,MEDIUM
72,75,MEDIUM
73,70,MEDIUM
73,75,MEDIUM
73,2,MEDIUM
74,66,HIGH
74,67,MEDIUM
74,71,MEDIUM
75,13,HIGH
75,22,HIGH
75,24,HIGH
75,30,HIGH
75,55,MEDIUM
75,56,HIGH
75,57,MEDIUM
75,58,MEDIUM
75,59,MEDIUM
75,60,MEDIUM
75,61,MEDIUM
75,62,MEDIUM
75,63,MEDIUM
75,64,MEDIUM
75,65,MEDIUM
75,67,MEDIUM
75,68,MEDIUM
75,70,MEDIUM
75,75,MEDIUM
76,16,MEDIUM
76,17,HIGH
76,18,HIGH
76,19,MEDIUM
76,20,MEDIUM
76,21,MEDIUM
76,22,MEDIUM
76,23,MEDIUM
76,24,MEDIUM
76,25,MEDIUM
76,26,MEDIUM
76,27,MEDIUM
76,28,MEDIUM
76,29,MEDIUM
76,30,MEDIUM
76,31,HIGH
76,32,MEDIUM
76,33,MEDIUM
76,34,MEDIUM
76,35,MEDIUM
76,36,MEDIUM
76,37,MEDIUM
76,38,MEDIUM
76,39,MEDIUM
76,40,MEDIUM
76,41,HIGH
76,42,MEDIUM
76,43,HIGH
76,44,MEDIUM
76,45,MEDIUM
76,70,MEDIUM
76,72,MEDIUM
77,3,HIGH
77,43,HIGH
77,67,MEDIUM
77,72,MEDIUM
78,3,HIGH
78,68,MEDIUM
78,70,MEDIUM
78,72,MEDIUM
78,74,MEDIUM
79,67,MEDIUM
79,70,MEDIUM
79,73,MEDIUM
79,74,MEDIUM
80,69,MEDIUM
80,70,MEDIUM
80,72,MEDIUM
80,82,HIGH
80,83,HIGH
81,70,MEDIUM
81,19,MEDIUM
81,77,MEDIUM
82,31,HIGH
82,16,MEDIUM
82,44,MEDIUM
83,7,HIGH
83,17,HIGH
83,22,HIGH
83,82,HIGH
84,65,HIGH
84,67,MEDIUM
84,69,MEDIUM
84,75,MEDIUM
84,82,HIGH
85,65,HIGH
85,69,MEDIUM
85,72,MEDIUM
85,74,MEDIUM
86,55,MEDIUM
86,56,HIGH
86,57,MEDIUM
86,58,MEDIUM
86,59,MEDIUM
86,60,MEDIUM
86,61,MEDIUM
86,62,MEDIUM
86,63,MEDIUM
86,64,MEDIUM
86,65,MEDIUM
86,66,HIGH
86,69,MEDIUM
87,16,MEDIUM
87,17,HIGH
87,18,HIGH
87,19,MEDIUM
87,20,MEDIUM
87,21,MEDIUM
87,22,MEDIUM
87,23,MEDIUM
87,24,MEDIUM
87,25,MEDIUM
87,26,MEDIUM
87,27,MEDIUM
87,28,MEDIUM
87,29,MEDIUM
87,30,MEDIUM
87,58,HIGH
87,59,HIGH
87,66,HIGH
87,67,MEDIUM
87,68,MEDIUM
87,75,MEDIUM
88,66,HIGH
88,69,MEDIUM
88,70,MEDIUM
88,71,MEDIUM
88,73,MEDIUM
89,50,HIGH
89,70,MEDIUM
89,73,MEDIUM
89,74,MEDIUM
89,75,MEDIUM
90,7,HIGH
90,70,MEDIUM
90,71,MEDIUM
90,73,MEDIUM
90,74,MEDIUM
91,7,HIGH
91,17,HIGH
91,22,HIGH
91,66,MEDIUM
91,71,MEDIUM
91,72,MEDIUM
92,81,HIGH
92,36,MEDIUM
92,64,MEDIUM
93,66,HIGH
93,69,MEDIUM
93,70,MEDIUM
93,71,MEDIUM
93,72,MEDIUM
93,73,MEDIUM
94,16,MEDIUM
94,17,HIGH
94,18,HIGH
94,19,MEDIUM
94,20,MEDIUM
94,21,MEDIUM
94,22,MEDIUM
94,23,MEDIUM
94,24,MEDIUM
94,25,MEDIUM
94,26,MEDIUM
94,27,MEDIUM
94,28,MEDIUM
94,29,MEDIUM
94,30,MEDIUM
94,66,HIGH
94,67,HIGH
94,68,MEDIUM
94,71,MEDIUM
95,65,HIGH
95,66,MEDIUM
95,68,MEDIUM
95,75,MEDIUM
96,7,HIGH
96,55,MEDIUM
96,56,HIGH
96,57,MEDIUM
96,58,MEDIUM
96,59,MEDIUM
96,60,MEDIUM
96,61,MEDIUM
96,62,MEDIUM
96,63,MEDIUM
96,64,MEDIUM
96,65,MEDIUM
96,66,HIGH
96,69,MEDIUM
96,70,MEDIUM
96,72,MEDIUM
96,74,MEDIUM
96,75,MEDIUM
97,66,MEDIUM
97,71,MEDIUM
97,3,MEDIUM
98,55,MEDIUM
98,56,HIGH
98,57,MEDIUM
98,58,HIGH
98,59,MEDIUM
98,60,MEDIUM
98,61,MEDIUM
98,62,MEDIUM
98,63,MEDIUM
98,64,MEDIUM
98,65,HIGH
98,68,MEDIUM
98,73,MEDIUM
98,75,MEDIUM
99,16,MEDIUM
99,17,HIGH
99,18,HIGH
99,19,MEDIUM
99,20,MEDIUM
99,21,MEDIUM
99,22,MEDIUM
99,23,MEDIUM
99,24,MEDIUM
99,25,MEDIUM
99,26,MEDIUM
99,27,MEDIUM
99,28,MEDIUM
99,29,MEDIUM
99,30,MEDIUM
99,66,HIGH
99,68,MEDIUM
99,75,MEDIUM
100,67,MEDIUM
100,70,MEDIUM
100,71,MEDIUM
