id,title,provider,career,skills,duration,level
64,Machine Learning Specialization - Edition 4,SWAYAM,Biomedical Instrumentation Engineer,"Data Structures,Algorithms,Machine Learning",17,Intermediate
65,Deep Learning and Neural Networks - Edition 4,Google Career Certificates,Actuarial Analyst,"Statistics,Problem Solving,Time Management",12,Intermediate
66,AWS Certified Solutions Architect - Edition 4,Simplilearn,Financial Consultant,"Data Analytics,Economics,Problem Solving",12,Advanced
67,UI/UX Design Masterclass - Edition 4,Coursera,Supply Chain Analyst,"Product Management,Business Analysis,Financial Accounting",8,Beginner
68,Introduction to Financial Accounting - Edition 4,Google Career Certificates,Brand Strategist,"Marketing,Communication,Public Speaking",8,Beginner
69,Product Management Fundamental Course - Edition 4,Coursera,Media Planner,"Data Structures,Algorithms,Machine Learning",5,Beginner
70,Cybersecurity Threat Detection and Mitigation - Edition 4,edX,Technical Product Owner,"React,Angular,Vue.js",9,Beginner
71,Academic Writing & Research Methodology - Edition 4,Simplilearn,Creative Director,"Graphic Design,Communication,Leadership",2,Beginner
72,SQL Masterclass: SQL for Analytics - Edition 4,Great Learning,IP Litigation Specialist,"Leadership,Public Speaking,Time Management",6,Intermediate
73,Full-Stack Web Development Bootcamp - Edition 4,edX,Public Prosecutor,"Java,Creative Writing,Negotiation",24,Beginner
74,Google Project Management Certificate - Edition 4,Simplilearn,Special Education Teacher,"Communication,Leadership,Problem Solving",13,Beginner
75,UPSC Preparation: Indian Polity and History - Edition 4,Google Career Certificates,Data Visualization Specialist,"SQL,Statistics,SQL",38,Advanced
76,Corporate Law & Contract Drafting - Edition 4,Udemy,SRE Engineer,"Data Structures,Algorithms,Machine Learning",15,Advanced
77,Embedded C Programming for IoT Devices - Edition 4,Simplilearn,VLSI Verification Engineer,"C++,Git,Leadership",13,Beginner
78,Statistical Inference for Researchers - Edition 4,SWAYAM,Embedded Firmware Developer,"C++,Public Speaking,Creative Writing",10,Beginner
79,Business Strategy & Finance for Founders - Edition 4,Coursera,IoT Systems Architect,"Leadership,Creative Writing,Critical Thinking",7,Beginner
80,Technical Writing for Software Engineers - Edition 4,edX,Aerodynamics Analyst,"Technical Writing,Creative Writing,Time Management",6,Beginner
81,Python for Data Science and AI - Edition 5,Great Learning,Structural Design Engineer,"Deep Learning,Creative Writing,Academic Writing",7,Advanced
82,Mastering Data Structures & Algorithms - Edition 5,NPTEL,Chemical Process Safety Specialist,"Data Structures,React,REST APIs",13,Intermediate
83,React - The Complete Guide - Edition 5,NPTEL,Quantitative Finance Analyst,"Go,Algorithms,Statistics",9,Intermediate
84,Machine Learning Specialization - Edition 5,SWAYAM,Arbitrage Trader,"Economics,Leadership,Technical Writing",15,Beginner
85,Deep Learning and Neural Networks - Edition 5,Udemy,Corporate Treasury Analyst,"Economics,Technical Writing,Time Management",16,Advanced
86,AWS Certified Solutions Architect - Edition 5,Great Learning,HR Recruitment Specialist,"Product Management,Business Analysis,Financial Accounting",11,Intermediate
87,UI/UX Design Masterclass - Edition 5,NPTEL,Digital Marketing Specialist,"Data Structures,Algorithms,Machine Learning",10,Beginner
88,Introduction to Financial Accounting - Edition 5,Great Learning,News Editor,"Communication,Technical Writing,Creative Writing",7,Intermediate
89,Product Management Fundamental Course - Edition 5,NPTEL,Illustrator & Concept Artist,"Graphic Design,Creative Writing,Critical Thinking",4,Advanced
90,Cybersecurity Threat Detection and Mitigation - Edition 5,SWAYAM,Regulatory Affairs Specialist,"Go,Creative Writing,Problem Solving",14,Advanced
91,Academic Writing & Research Methodology - Edition 5,Udemy,Bioinformatics Analyst,"Go,Algorithms,Statistics",5,Beginner
92,SQL Masterclass: SQL for Analytics - Edition 5,Simplilearn,Organic Chemist,"Django,Business Strategy,Chemistry Lab",9,Advanced
93,Full-Stack Web Development Bootcamp - Edition 5,edX,Academic Counsellor,"Communication,Technical Writing,Creative Writing",24,Intermediate
94,Google Project Management Certificate - Edition 5,Simplilearn,Disaster Relief Coordinator,"Data Structures,Algorithms,Machine Learning",16,Intermediate
95,UPSC Preparation: Indian Polity and History - Edition 5,Great Learning,Urban Policy Researcher,"Economics,Communication,Public Speaking",41,Intermediate
96,Corporate Law & Contract Drafting - Edition 5,SWAYAM,Corporate Social Responsibility Lead,"Go,Product Management,Business Analysis",13,Beginner
97,Embedded C Programming for IoT Devices - Edition 5,Udemy,System Security Architect,"C++,Communication,Problem Solving",8,Advanced
98,Statistical Inference for Researchers - Edition 5,Udemy,E-commerce Category Manager,"Product Management,Business Analysis,Financial Accounting",8,Advanced
99,Business Strategy & Finance for Founders - Edition 5,SWAYAM,Speech & Language Therapist,"Data Structures,Algorithms,Machine Learning",11,Intermediate
100,Technical Writing for Software Engineers - Edition 5,SWAYAM,Horticulturist,"Leadership,Creative Writing,Problem Solving",6,Intermediate
101,Python for Data Science and AI - Edition 6,Great Learning,Software Engineer,"Data Structures,Algorithms,Machine Learning",8,Beginner
102,Mastering Data Structures & Algorithms - Edition 6,Great Learning,AI/ML Engineer,"Data Structures,Algorithms,Machine Learning",15,Beginner
103,React - The Complete Guide - Edition 6,SWAYAM,Data Analyst,"Statistics,Product Management,Business Analysis",14,Intermediate
104,Machine Learning Specialization - Edition 6,edX,Product Manager,"Product Management,Business Analysis,Financial Accounting",14,Intermediate
105,Deep Learning and Neural Networks - Edition 6,Google Career Certificates,Cybersecurity Analyst,"Node.js,Communication,Public Speaking",16,Intermediate
106,AWS Certified Solutions Architect - Edition 6,edX,UI/UX Designer,"HTML,CSS,React",15,Intermediate
107,UI/UX Design Masterclass - Edition 6,Simplilearn,Chartered Accountant,"Product Management,Business Analysis,Financial Accounting",12,Advanced
108,Introduction to Financial Accounting - Edition 6,edX,Civil Servant (IAS/IPS),"Go,Data Structures,Algorithms",7,Beginner
109,Product Management Fundamental Course - Edition 6,Google Career Certificates,Management Consultant,"Product Management,Business Analysis,Financial Accounting",10,Intermediate
110,Cybersecurity Threat Detection and Mitigation - Edition 6,SWAYAM,Biotechnology Researcher,"Leadership,Research Methodology,Academic Writing",9,Advanced
111,Academic Writing & Research Methodology - Edition 6,Google Career Certificates,Cloud Architect,"Product Management,Business Analysis,Financial Accounting",8,Advanced
112,SQL Masterclass: SQL for Analytics - Edition 6,SWAYAM,DevOps Engineer,"Creative Writing,Time Management,Negotiation",9,Intermediate
113,Full-Stack Web Development Bootcamp - Edition 6,edX,Investment Banker,"Go,Data Structures,Algorithms",25,Intermediate
114,Google Project Management Certificate - Edition 6,SWAYAM,Marketing Manager,"Marketing,Economics,Communication",15,Intermediate
115,UPSC Preparation: Indian Polity and History - Edition 6,Great Learning,Corporate Lawyer,"Product Management,Business Analysis,Financial Accounting",39,Advanced
116,Corporate Law & Contract Drafting - Edition 6,Google Career Certificates,Defense Officer (Army/Navy/Air Force),"Data Structures,Algorithms,Machine Learning",13,Intermediate
117,Embedded C Programming for IoT Devices - Edition 6,Coursera,Entrepreneur,"Product Management,Business Analysis,Financial Accounting",14,Advanced
118,Statistical Inference for Researchers - Edition 6,Great Learning,Research Scientist,"Negotiation,Research Methodology,Academic Writing",7,Intermediate
119,Business Strategy & Finance for Founders - Edition 6,Simplilearn,Public Relations Specialist,"Communication,Leadership,Time Management",12,Advanced
120,Technical Writing for Software Engineers - Edition 6,edX,Data Engineer,"Leadership,Technical Writing,Problem Solving",3,Intermediate
121,Python for Data Science and AI - Edition 7,Coursera,Frontend Developer,"Java,JavaScript,HTML",9,Advanced
122,Mastering Data Structures & Algorithms - Edition 7,NPTEL,Backend Developer,"Python,Java,Node.js",15,Intermediate
123,React - The Complete Guide - Edition 7,Great Learning,Full Stack Developer,"HTML,CSS,React",12,Advanced
124,Machine Learning Specialization - Edition 7,Coursera,Mobile App Developer,"Communication,Public Speaking,Mathematics",14,Advanced
125,Deep Learning and Neural Networks - Edition 7,Great Learning,Database Administrator,"Data Structures,Algorithms,Machine Learning",12,Intermediate
126,AWS Certified Solutions Architect - Edition 7,Udemy,Game Developer,"3D Modeling,Communication,Public Speaking",15,Beginner
127,UI/UX Design Masterclass - Edition 7,edX,QA Automation Engineer,"Rust,Creative Writing,Negotiation",9,Intermediate
128,Introduction to Financial Accounting - Edition 7,Google Career Certificates,Network Security Engineer,"Django,Technical Writing,Biotechnology",5,Advanced
129,Product Management Fundamental Course - Edition 7,Google Career Certificates,Cloud DevOps Architect,"Natural Language Processing,Leadership,Teamwork",7,Intermediate
130,Cybersecurity Threat Detection and Mitigation - Edition 7,Coursera,Systems Administrator,"Data Structures,Algorithms,Machine Learning",10,Advanced
131,Academic Writing & Research Methodology - Edition 7,Simplilearn,VLSI Design Engineer,"Leadership,Technical Writing,Mathematics",3,Intermediate
132,SQL Masterclass: SQL for Analytics - Edition 7,SWAYAM,Embedded Systems Engineer,"Vue.js,Creative Writing,Time Management",5,Beginner
133,Full-Stack Web Development Bootcamp - Edition 7,Great Learning,Aerospace Engineer,"Data Structures,Algorithms,Machine Learning",27,Beginner
134,Google Project Management Certificate - Edition 7,Google Career Certificates,Mechanical Design Engineer,"Graphic Design,SEO,Mathematics",16,Beginner
135,UPSC Preparation: Indian Polity and History - Edition 7,NPTEL,Civil Site Engineer,"Leadership,Technical Writing,Creative Writing",38,Beginner
136,Corporate Law & Contract Drafting - Edition 7,SWAYAM,Chemical Engineer,"Communication,Leadership,Technical Writing",15,Advanced
137,Embedded C Programming for IoT Devices - Edition 7,Google Career Certificates,Financial Risk Analyst,"Statistics,Economics,Leadership",8,Beginner
138,Statistical Inference for Researchers - Edition 7,Simplilearn,Stock Trader / Portfolio Manager,"Statistics,Economics,Public Speaking",8,Advanced
139,Business Strategy & Finance for Founders - Edition 7,edX,Tax Consultant,"Communication,Public Speaking,Time Management",8,Advanced
140,Technical Writing for Software Engineers - Edition 7,Great Learning,Human Resource Manager,"Data Structures,Algorithms,Machine Learning",7,Advanced
141,Python for Data Science and AI - Edition 8,edX,Operations Manager,"Data Structures,Algorithms,Machine Learning",11,Intermediate
142,Mastering Data Structures & Algorithms - Edition 8,SWAYAM,SEO & Content Writer,"React,Angular,Vue.js",13,Intermediate
143,React - The Complete Guide - Edition 8,Coursera,Journalist & Media Reporter,"Git,Communication,Leadership",14,Intermediate
144,Machine Learning Specialization - Edition 8,NPTEL,3D Animator & Visual Artist,"3D Modeling,Communication,Creative Writing",16,Intermediate
145,Deep Learning and Neural Networks - Edition 8,Simplilearn,Patent Attorney,"Communication,Technical Writing,Time Management",14,Beginner
146,AWS Certified Solutions Architect - Edition 8,SWAYAM,Criminal Defense Lawyer,"Kotlin,Public Speaking,Negotiation",11,Beginner
147,UI/UX Design Masterclass - Edition 8,Coursera,High School Physics Teacher,"Public Speaking,Problem Solving,Negotiation",11,Beginner
148,Introduction to Financial Accounting - Edition 8,Great Learning,College Professor (Computer Science),"Problem Solving,Teamwork,Research Methodology",5,Intermediate
149,Product Management Fundamental Course - Edition 8,Google Career Certificates,Clinical Psychologist,"Communication,Public Speaking,Problem Solving",8,Intermediate
150,Cybersecurity Threat Detection and Mitigation - Edition 8,Google Career Certificates,Clinical Research Associate,"GraphQL,Technical Writing,Teamwork",10,Beginner
151,Academic Writing & Research Methodology - Edition 8,Simplilearn,Pharmacist,"Java,Problem Solving,Critical Thinking",8,Intermediate
152,SQL Masterclass: SQL for Analytics - Edition 8,Udemy,General Medical Practitioner,"Communication,Public Speaking,Technical Writing",7,Intermediate
153,Full-Stack Web Development Bootcamp - Edition 8,Coursera,Agricultural Officer,"Go,Economics,Public Speaking",24,Beginner
154,Google Project Management Certificate - Edition 8,SWAYAM,Food Technologist,"Communication,Leadership,Technical Writing",15,Beginner
155,UPSC Preparation: Indian Polity and History - Edition 8,edX,Environmental Consultant,"Go,Product Management,Business Analysis",39,Intermediate
156,Corporate Law & Contract Drafting - Edition 8,edX,Social Worker (NGO Manager),"Communication,Public Speaking,Problem Solving",12,Beginner
157,Embedded C Programming for IoT Devices - Edition 8,edX,Public Policy Analyst,"Go,AWS,Economics",14,Intermediate
158,Statistical Inference for Researchers - Edition 8,Simplilearn,Data Scientist,"Machine Learning,Statistics,Leadership",6,Advanced
159,Business Strategy & Finance for Founders - Edition 8,Great Learning,Cybersecurity Consultant,"Product Management,Business Analysis,Financial Accounting",6,Intermediate
160,Technical Writing for Software Engineers - Edition 8,Coursera,Enterprise Risk Consultant,"Product Management,Business Analysis,Financial Accounting",8,Beginner
161,Python for Data Science and AI - Edition 9,Simplilearn,User Experience Researcher,"Communication,Technical Writing,Time Management",10,Intermediate
162,Mastering Data Structures & Algorithms - Edition 9,edX,Solutions Architect,"Product Management,Business Analysis,Financial Accounting",10,Beginner
163,React - The Complete Guide - Edition 9,Udemy,Robotics Software Engineer,"Computer Vision,Leadership,Time Management",10,Advanced
164,Machine Learning Specialization - Edition 9,Great Learning,Biomedical Instrumentation Engineer,"Data Structures,Algorithms,Machine Learning",17,Advanced
165,Deep Learning and Neural Networks - Edition 9,Coursera,Actuarial Analyst,"Statistics,Problem Solving,Time Management",18,Intermediate
166,AWS Certified Solutions Architect - Edition 9,Great Learning,Financial Consultant,"Data Analytics,Economics,Problem Solving",14,Beginner
167,UI/UX Design Masterclass - Edition 9,edX,Supply Chain Analyst,"Product Management,Business Analysis,Financial Accounting",7,Beginner
168,Introduction to Financial Accounting - Edition 9,NPTEL,Brand Strategist,"Marketing,Communication,Public Speaking",4,Intermediate
169,Product Management Fundamental Course - Edition 9,Google Career Certificates,Media Planner,"Data Structures,Algorithms,Machine Learning",7,Advanced
170,Cybersecurity Threat Detection and Mitigation - Edition 9,Udemy,Technical Product Owner,"React,Angular,Vue.js",13,Intermediate
171,Academic Writing & Research Methodology - Edition 9,NPTEL,Creative Director,"Graphic Design,Communication,Leadership",8,Advanced
172,SQL Masterclass: SQL for Analytics - Edition 9,Simplilearn,IP Litigation Specialist,"Leadership,Public Speaking,Time Management",8,Advanced
173,Full-Stack Web Development Bootcamp - Edition 9,SWAYAM,Public Prosecutor,"Java,Creative Writing,Negotiation",25,Beginner
174,Google Project Management Certificate - Edition 9,Udemy,Special Education Teacher,"Communication,Leadership,Problem Solving",16,Advanced
175,UPSC Preparation: Indian Polity and History - Edition 9,Simplilearn,Data Visualization Specialist,"SQL,Statistics,SQL",44,Intermediate
176,Corporate Law & Contract Drafting - Edition 9,edX,SRE Engineer,"Data Structures,Algorithms,Machine Learning",16,Intermediate
177,Embedded C Programming for IoT Devices - Edition 9,NPTEL,VLSI Verification Engineer,"C++,Git,Leadership",13,Beginner
178,Statistical Inference for Researchers - Edition 9,SWAYAM,Embedded Firmware Developer,"C++,Public Speaking,Creative Writing",11,Beginner
179,Business Strategy & Finance for Founders - Edition 9,Udemy,IoT Systems Architect,"Leadership,Creative Writing,Critical Thinking",10,Advanced
180,Technical Writing for Software Engineers - Edition 9,Google Career Certificates,Aerodynamics Analyst,"Technical Writing,Creative Writing,Time Management",4,Advanced
181,Python for Data Science and AI - Edition 10,Great Learning,Structural Design Engineer,"Deep Learning,Creative Writing,Academic Writing",12,Advanced
182,Mastering Data Structures & Algorithms - Edition 10,Udemy,Chemical Process Safety Specialist,"Data Structures,React,REST APIs",15,Intermediate
183,React - The Complete Guide - Edition 10,Google Career Certificates,Quantitative Finance Analyst,"Go,Algorithms,Statistics",9,Beginner
184,Machine Learning Specialization - Edition 10,SWAYAM,Arbitrage Trader,"Economics,Leadership,Technical Writing",14,Beginner
185,Deep Learning and Neural Networks - Edition 10,edX,Corporate Treasury Analyst,"Economics,Technical Writing,Time Management",17,Advanced
186,AWS Certified Solutions Architect - Edition 10,edX,HR Recruitment Specialist,"Product Management,Business Analysis,Financial Accounting",12,Advanced
187,UI/UX Design Masterclass - Edition 10,SWAYAM,Digital Marketing Specialist,"Data Structures,Algorithms,Machine Learning",10,Intermediate
188,Introduction to Financial Accounting - Edition 10,Coursera,News Editor,"Communication,Technical Writing,Creative Writing",4,Beginner
189,Product Management Fundamental Course - Edition 10,SWAYAM,Illustrator & Concept Artist,"Graphic Design,Creative Writing,Critical Thinking",6,Intermediate
190,Cybersecurity Threat Detection and Mitigation - Edition 10,Great Learning,Regulatory Affairs Specialist,"Go,Creative Writing,Problem Solving",8,Beginner
191,Academic Writing & Research Methodology - Edition 10,Udemy,Bioinformatics Analyst,"Go,Algorithms,Statistics",3,Advanced
192,SQL Masterclass: SQL for Analytics - Edition 10,Coursera,Organic Chemist,"Django,Business Strategy,Chemistry Lab",9,Intermediate
193,Full-Stack Web Development Bootcamp - Edition 10,edX,Academic Counsellor,"Communication,Technical Writing,Creative Writing",27,Intermediate
194,Google Project Management Certificate - Edition 10,NPTEL,Disaster Relief Coordinator,"Data Structures,Algorithms,Machine Learning",16,Intermediate
195,UPSC Preparation: Indian Polity and History - Edition 10,Simplilearn,Urban Policy Researcher,"Economics,Communication,Public Speaking",42,Advanced
196,Corporate Law & Contract Drafting - Edition 10,Coursera,Corporate Social Responsibility Lead,"Go,Product Management,Business Analysis",14,Intermediate
197,Embedded C Programming for IoT Devices - Edition 10,edX,System Security Architect,"C++,Communication,Problem Solving",13,Beginner
198,Statistical Inference for Researchers - Edition 10,Coursera,E-commerce Category Manager,"Product Management,Business Analysis,Financial Accounting",11,Advanced
199,Business Strategy & Finance for Founders - Edition 10,Google Career Certificates,Speech & Language Therapist,"Data Structures,Algorithms,Machine Learning",11,Advanced
200,Technical Writing for Software Engineers - Edition 10,NPTEL,Horticulturist,"Leadership,Creative Writing,Problem Solving",5,Advanced
201,Python for Data Science and AI - Edition 11,NPTEL,Software Engineer,"Data Structures,Algorithms,Machine Learning",11,Intermediate
202,Mastering Data Structures & Algorithms - Edition 11,Simplilearn,AI/ML Engineer,"Data Structures,Algorithms,Machine Learning",11,Advanced
203,React - The Complete Guide - Edition 11,Great Learning,Data Analyst,"Statistics,Product Management,Business Analysis",8,Intermediate
204,Machine Learning Specialization - Edition 11,Simplilearn,Product Manager,"Product Management,Business Analysis,Financial Accounting",14,Beginner
205,Deep Learning and Neural Networks - Edition 11,NPTEL,Cybersecurity Analyst,"Node.js,Communication,Public Speaking",17,Beginner
206,AWS Certified Solutions Architect - Edition 11,Great Learning,UI/UX Designer,"HTML,CSS,React",14,Beginner
207,UI/UX Design Masterclass - Edition 11,Udemy,Chartered Accountant,"Product Management,Business Analysis,Financial Accounting",9,Beginner
208,Introduction to Financial Accounting - Edition 11,Simplilearn,Civil Servant (IAS/IPS),"Go,Data Structures,Algorithms",6,Advanced
209,Product Management Fundamental Course - Edition 11,NPTEL,Management Consultant,"Product Management,Business Analysis,Financial Accounting",4,Intermediate
210,Cybersecurity Threat Detection and Mitigation - Edition 11,Simplilearn,Biotechnology Researcher,"Leadership,Research Methodology,Academic Writing",13,Advanced
211,Academic Writing & Research Methodology - Edition 11,NPTEL,Cloud Architect,"Product Management,Business Analysis,Financial Accounting",8,Advanced
212,SQL Masterclass: SQL for Analytics - Edition 11,Udemy,DevOps Engineer,"Creative Writing,Time Management,Negotiation",7,Intermediate
213,Full-Stack Web Development Bootcamp - Edition 11,NPTEL,Investment Banker,"Go,Data Structures,Algorithms",27,Intermediate
214,Google Project Management Certificate - Edition 11,edX,Marketing Manager,"Marketing,Economics,Communication",13,Advanced
215,UPSC Preparation: Indian Polity and History - Edition 11,edX,Corporate Lawyer,"Product Management,Business Analysis,Financial Accounting",41,Intermediate
216,Corporate Law & Contract Drafting - Edition 11,Udemy,Defense Officer (Army/Navy/Air Force),"Data Structures,Algorithms,Machine Learning",11,Intermediate
217,Embedded C Programming for IoT Devices - Edition 11,Google Career Certificates,Entrepreneur,"Product Management,Business Analysis,Financial Accounting",14,Beginner
218,Statistical Inference for Researchers - Edition 11,Coursera,Research Scientist,"Negotiation,Research Methodology,Academic Writing",7,Intermediate
219,Business Strategy & Finance for Founders - Edition 11,edX,Public Relations Specialist,"Communication,Leadership,Time Management",12,Beginner
