id,name,provider,eligibility,education,category,amount,deadline,official_url
58,DAAD Scholarships for PG Studies in Germany - 2028,DAAD Germany,Bachelor Graduates in India,Postgrad (Study Abroad),"Science,Engineering",Full stipend + health insurance,15-10-2026,https://www.daad.in
59,Fulbright-Nehru Master's Fellowships - 2028,USIEF,Bachelor Graduates with 3y work exp,Postgrad (Study Abroad),All Branches,"J-1 visa support, tuition, health insurance",15-05-2026,https://www.usief.org.in
60,Fair & Lovely Career Foundation Scholarship - 2028,Hindustan Unilever,Class 12 / College Girls,Class 12 to Postgrad,Social Impact,"Up to Rs. 50,000",30-10-2026,https://www.buddy4study.com
61,NSP (National Scholarship Portal) Central Sector Scheme - 2029,Government of India,Class 12 / College Students,Class 12 / Undergrad,"Government Jobs,Social Impact","Up to Rs. 20,000 / year",31-10-2026,https://scholarships.gov.in
62,KVPY (Kishore Vaigyanik Protsahan Yojana) - 2029,"DST, Govt of India","Class 11, Class 12, B.Sc 1st Year",Class 11/12/B.Sc,"Research,Science","Up to Rs. 7,000 / month + Contingency",30-10-2026,http://www.kvpy.iisc.ernet.in
63,HDFC Bank Badhte Kadam Scholarship - 2029,HDFC Bank,Class 11 to Undergrad,Class 11 to Undergrad,Social Impact,"Up to Rs. 1,00,000 / year",30-09-2026,https://www.buddy4study.com
64,Reliance Foundation Undergraduate Scholarships - 2029,Reliance Foundation,First Year UG Students,Undergrad,"Technology,Engineering,Business","Up to Rs. 2,00,000",15-10-2026,https://www.reliancefoundation.org
65,Tata Scholarship at Cornell University - 2029,Tata Trusts,Undergraduate Admissions at Cornell,Undergrad (Study Abroad),"Technology,Engineering,Business",Full Tuition Support,15-03-2027,https://admissions.cornell.edu
66,Aditya Birla Capital Scholarship - 2029,Aditya Birla Capital Foundation,Class 9 to Undergrad,Class 9 to Undergrad,Social Impact,"Up to Rs. 60,000",30-09-2026,https://www.adityabirlacapital.com
67,L'Oréal India For Young Women In Science Scholarship - 2029,L'Oréal India,Class 12 Girls (Science),Class 12 (Girls),"Science,Research","Rs. 2,50,000 for graduation",15-10-2026,https://www.foryoungwomeninscience.co.in
68,Dr. Ambedkar Post Matric Scholarship for EBC Students - 2029,Ministry of Social Justice,EBC Postgraduate/Undergrad,Undergrad/Postgrad,"Government Jobs,Social Impact",Maintenance allowance and fees reimbursed,30-11-2026,https://scholarships.gov.in
69,Sitaram Jindal Foundation Scholarship - 2029,Sitaram Jindal Foundation,"Class 11 to Postgrad, ITI, Diploma",Class 11 to Postgrad,Social Impact,"Up to Rs. 3,200 / month",31-12-2026,https://sitaramjindalfoundation.org
70,INSPIRE Scholarship (SHE) - 2029,"DST, Govt of India",Class 12 Top 1% students in Board,B.Sc/Int. M.Sc,"Research,Science","Rs. 80,000 / year",31-12-2026,https://online-inspire.gov.in
71,AICTE Pragati Scholarship for Girl Students - 2029,AICTE,First Year Degree/Diploma Girls,B.Tech/Diploma,"Engineering,Technology","Rs. 50,000 / year",30-11-2026,https://www.aicte-india.org
72,Adobe India Women in Technology Scholarship - 2029,Adobe India,Undergraduate CSE/ECE Girls,B.Tech/BE (CSE/ECE),"Technology,AI/ML",Tuition fees + Intern interview,15-11-2026,https://www.adobe.com
73,K.C. Mahindra Scholarships for Post-Graduate Studies Abroad - 2029,K.C. Mahindra Education Trust,Graduates pursuing PG Abroad,Postgrad (Study Abroad),"Engineering,Business,Science","Up to Rs. 8,00,000 interest-free loan",31-03-2027,https://www.kcmet.org
74,LIC Golden Jubilee Scholarship - 2029,LIC of India,Class 12 / Diploma (EWS),Undergrad/Diploma,Social Impact,"Rs. 20,000 / year",24-12-2026,https://licindia.in
75,Prime Minister's Scholarship Scheme (PMSS) - 2029,Ministry of Defence,Wards of Ex-servicemen UG/PG,Undergrad/Postgrad,"Defence,Government Jobs","Up to Rs. 3,000 / month",30-11-2026,https://desw.gov.in
76,Olay Scholarship for Women in STEM - 2029,Olay India / Buddy4Study,Girls enrolled in STEM Degrees,Undergrad (STEM),"Science,Technology,Engineering","Rs. 1,00,000",15-12-2026,https://www.buddy4study.com
77,British Council Great Scholarships - 2029,British Council,Undergraduates going to UK,Postgrad (Study Abroad),All Branches,"GBP 10,000 tuition fee waiver",30-04-2027,https://study-uk.britishcouncil.org
78,DAAD Scholarships for PG Studies in Germany - 2029,DAAD Germany,Bachelor Graduates in India,Postgrad (Study Abroad),"Science,Engineering",Full stipend + health insurance,15-10-2026,https://www.daad.in
79,Fulbright-Nehru Master's Fellowships - 2029,USIEF,Bachelor Graduates with 3y work exp,Postgrad (Study Abroad),All Branches,"J-1 visa support, tuition, health insurance",15-05-2026,https://www.usief.org.in
80,Fair & Lovely Career Foundation Scholarship - 2029,Hindustan Unilever,Class 12 / College Girls,Class 12 to Postgrad,Social Impact,"Up to Rs. 50,000",30-10-2026,https://www.buddy4study.com
81,NSP (National Scholarship Portal) Central Sector Scheme - 2030,Government of India,Class 12 / College Students,Class 12 / Undergrad,"Government Jobs,Social Impact","Up to Rs. 20,000 / year",31-10-2026,https://scholarships.gov.in
82,KVPY (Kishore Vaigyanik Protsahan Yojana) - 2030,"DST, Govt of India","Class 11, Class 12, B.Sc 1st Year",Class 11/12/B.Sc,"Research,Science","Up to Rs. 7,000 / month + Contingency",30-10-2026,http://www.kvpy.iisc.ernet.in
83,HDFC Bank Badhte Kadam Scholarship - 2030,HDFC Bank,Class 11 to Undergrad,Class 11 to Undergrad,Social Impact,"Up to Rs. 1,00,000 / year",30-09-2026,https://www.buddy4study.com
84,Reliance Foundation Undergraduate Scholarships - 2030,Reliance Foundation,First Year UG Students,Undergrad,"Technology,Engineering,Business","Up to Rs. 2,00,000",15-10-2026,https://www.reliancefoundation.org
85,Tata Scholarship at Cornell University - 2030,Tata Trusts,Undergraduate Admissions at Cornell,Undergrad (Study Abroad),"Technology,Engineering,Business",Full Tuition Support,15-03-2027,https://admissions.cornell.edu
86,Aditya Birla Capital Scholarship - 2030,Aditya Birla Capital Foundation,Class 9 to Undergrad,Class 9 to Undergrad,Social Impact,"Up to Rs. 60,000",30-09-2026,https://www.adityabirlacapital.com
87,L'Oréal India For Young Women In Science Scholarship - 2030,L'Oréal India,Class 12 Girls (Science),Class 12 (Girls),"Science,Research","Rs. 2,50,000 for graduation",15-10-2026,https://www.foryoungwomeninscience.co.in
88,Dr. Ambedkar Post Matric Scholarship for EBC Students - 2030,Ministry of Social Justice,EBC Postgraduate/Undergrad,Undergrad/Postgrad,"Government Jobs,Social Impact",Maintenance allowance and fees reimbursed,30-11-2026,https://scholarships.gov.in
89,Sitaram Jindal Foundation Scholarship - 2030,Sitaram Jindal Foundation,"Class 11 to Postgrad, ITI, Diploma",Class 11 to Postgrad,Social Impact,"Up to Rs. 3,200 / month",31-12-2026,https://sitaramjindalfoundation.org
90,INSPIRE Scholarship (SHE) - 2030,"DST, Govt of India",Class 12 Top 1% students in Board,B.Sc/Int. M.Sc,"Research,Science","Rs. 80,000 / year",31-12-2026,https://online-inspire.gov.in
91,AICTE Pragati Scholarship for Girl Students - 2030,AICTE,First Year Degree/Diploma Girls,B.Tech/Diploma,"Engineering,Technology","Rs. 50,000 / year",30-11-2026,https://www.aicte-india.org
92,Adobe India Women in Technology Scholarship - 2030,Adobe India,Undergraduate CSE/ECE Girls,B.Tech/BE (CSE/ECE),"Technology,AI/ML",Tuition fees + Intern interview,15-11-2026,https://www.adobe.com
93,K.C. Mahindra Scholarships for Post-Graduate Studies Abroad - 2030,K.C. Mahindra Education Trust,Graduates pursuing PG Abroad,Postgrad (Study Abroad),"Engineering,Business,Science","Up to Rs. 8,00,000 interest-free loan",31-03-2027,https://www.kcmet.org
94,LIC Golden Jubilee Scholarship - 2030,LIC of India,Class 12 / Diploma (EWS),Undergrad/Diploma,Social Impact,"Rs. 20,000 / year",24-12-2026,https://licindia.in
95,Prime Minister's Scholarship Scheme (PMSS) - 2030,Ministry of Defence,Wards of Ex-servicemen UG/PG,Undergrad/Postgrad,"Defence,Government Jobs","Up to Rs. 3,000 / month",30-11-2026,https://desw.gov.in
96,Olay Scholarship for Women in STEM - 2030,Olay India / Buddy4Study,Girls enrolled in STEM Degrees,Undergrad (STEM),"Science,Technology,Engineering","Rs. 1,00,000",15-12-2026,https://www.buddy4study.com
97,British Council Great Scholarships - 2030,British Council,Undergraduates going to UK,Postgrad (Study Abroad),All Branches,"GBP 10,000 tuition fee waiver",30-04-2027,https://study-uk.britishcouncil.org
98,DAAD Scholarships for PG Studies in Germany - 2030,DAAD Germany,Bachelor Graduates in India,Postgrad (Study Abroad),"Science,Engineering",Full stipend + health insurance,15-10-2026,https://www.daad.in
99,Fulbright-Nehru Master's Fellowships - 2030,USIEF,Bachelor Graduates with 3y work exp,Postgrad (Study Abroad),All Branches,"J-1 visa support, tuition, health insurance",15-05-2026,https://www.usief.org.in
100,Fair & Lovely Career Foundation Scholarship - 2030,Hindustan Unilever,Class 12 / College Girls,Class 12 to Postgrad,Social Impact,"Up to Rs. 50,000",30-10-2026,https://www.buddy4study.com
101,NSP (National Scholarship Portal) Central Sector Scheme - 2031,Government of India,Class 12 / College Students,Class 12 / Undergrad,"Government Jobs,Social Impact","Up to Rs. 20,000 / year",31-10-2026,https://scholarships.gov.in
102,KVPY (Kishore Vaigyanik Protsahan Yojana) - 2031,"DST, Govt of India","Class 11, Class 12, B.Sc 1st Year",Class 11/12/B.Sc,"Research,Science","Up to Rs. 7,000 / month + Contingency",30-10-2026,http://www.kvpy.iisc.ernet.in
103,HDFC Bank Badhte Kadam Scholarship - 2031,HDFC Bank,Class 11 to Undergrad,Class 11 to Undergrad,Social Impact,"Up to Rs. 1,00,000 / year",30-09-2026,https://www.buddy4study.com
104,Reliance Foundation Undergraduate Scholarships - 2031,Reliance Foundation,First Year UG Students,Undergrad,"Technology,Engineering,Business","Up to Rs. 2,00,000",15-10-2026,https://www.reliancefoundation.org
105,Tata Scholarship at Cornell University - 2031,Tata Trusts,Undergraduate Admissions at Cornell,Undergrad (Study Abroad),"Technology,Engineering,Business",Full Tuition Support,15-03-2027,https://admissions.cornell.edu
106,Aditya Birla Capital Scholarship - 2031,Aditya Birla Capital Foundation,Class 9 to Undergrad,Class 9 to Undergrad,Social Impact,"Up to Rs. 60,000",30-09-2026,https://www.adityabirlacapital.com
107,L'Oréal India For Young Women In Science Scholarship - 2031,L'Oréal India,Class 12 Girls (Science),Class 12 (Girls),"Science,Research","Rs. 2,50,000 for graduation",15-10-2026,https://www.foryoungwomeninscience.co.in
108,Dr. Ambedkar Post Matric Scholarship for EBC Students - 2031,Ministry of Social Justice,EBC Postgraduate/Undergrad,Undergrad/Postgrad,"Government Jobs,Social Impact",Maintenance allowance and fees reimbursed,30-11-2026,https://scholarships.gov.in
109,Sitaram Jindal Foundation Scholarship - 2031,Sitaram Jindal Foundation,"Class 11 to Postgrad, ITI, Diploma",Class 11 to Postgrad,Social Impact,"Up to Rs. 3,200 / month",31-12-2026,https://sitaramjindalfoundation.org
110,INSPIRE Scholarship (SHE) - 2031,"DST, Govt of India",Class 12 Top 1% students in Board,B.Sc/Int. M.Sc,"Research,Science","Rs. 80,000 / year",31-12-2026,https://online-inspire.gov.in
111,AICTE Pragati Scholarship for Girl Students - 2031,AICTE,First Year Degree/Diploma Girls,B.Tech/Diploma,"Engineering,Technology","Rs. 50,000 / year",30-11-2026,https://www.aicte-india.org
112,Adobe India Women in Technology Scholarship - 2031,Adobe India,Undergraduate CSE/ECE Girls,B.Tech/BE (CSE/ECE),"Technology,AI/ML",Tuition fees + Intern interview,15-11-2026,https://www.adobe.com
113,K.C. Mahindra Scholarships for Post-Graduate Studies Abroad - 2031,K.C. Mahindra Education Trust,Graduates pursuing PG Abroad,Postgrad (Study Abroad),"Engineering,Business,Science","Up to Rs. 8,00,000 interest-free loan",31-03-2027,https://www.kcmet.org
114,LIC Golden Jubilee Scholarship - 2031,LIC of India,Class 12 / Diploma (EWS),Undergrad/Diploma,Social Impact,"Rs. 20,000 / year",24-12-2026,https://licindia.in
115,Prime Minister's Scholarship Scheme (PMSS) - 2031,Ministry of Defence,Wards of Ex-servicemen UG/PG,Undergrad/Postgrad,"Defence,Government Jobs","Up to Rs. 3,000 / month",30-11-2026,https://desw.gov.in
116,Olay Scholarship for Women in STEM - 2031,Olay India / Buddy4Study,Girls enrolled in STEM Degrees,Undergrad (STEM),"Science,Technology,Engineering","Rs. 1,00,000",15-12-2026,https://www.buddy4study.com
117,British Council Great Scholarships - 2031,British Council,Undergraduates going to UK,Postgrad (Study Abroad),All Branches,"GBP 10,000 tuition fee waiver",30-04-2027,https://study-uk.britishcouncil.org
118,DAAD Scholarships for PG Studies in Germany - 2031,DAAD Germany,Bachelor Graduates in India,Postgrad (Study Abroad),"Science,Engineering",Full stipend + health insurance,15-10-2026,https://www.daad.in
119,Fulbright-Nehru Master's Fellowships - 2031,USIEF,Bachelor Graduates with 3y work exp,Postgrad (Study Abroad),All Branches,"J-1 visa support, tuition, health insurance",15-05-2026,https://www.usief.org.in
120,Fair & Lovely Career Foundation Scholarship - 2031,Hindustan Unilever,Class 12 / College Girls,Class 12 to Postgrad,Social Impact,"Up to Rs. 50,000",30-10-2026,https://www.buddy4study.com
121,NSP (National Scholarship Portal) Central Sector Scheme - 2032,Government of India,Class 12 / College Students,Class 12 / Undergrad,"Government Jobs,Social Impact","Up to Rs. 20,000 / year",31-10-2026,https://scholarships.gov.in
122,KVPY (Kishore Vaigyanik Protsahan Yojana) - 2032,"DST, Govt of India","Class 11, Class 12, B.Sc 1st Year",Class 11/12/B.Sc,"Research,Science","Up to Rs. 7,000 / month + Contingency",30-10-2026,http://www.kvpy.iisc.ernet.in
123,HDFC Bank Badhte Kadam Scholarship - 2032,HDFC Bank,Class 11 to Undergrad,Class 11 to Undergrad,Social Impact,"Up to Rs. 1,00,000 / year",30-09-2026,https://www.buddy4study.com
124,Reliance Foundation Undergraduate Scholarships - 2032,Reliance Foundation,First Year UG Students,Undergrad,"Technology,Engineering,Business","Up to Rs. 2,00,000",15-10-2026,https://www.reliancefoundation.org
125,Tata Scholarship at Cornell University - 2032,Tata Trusts,Undergraduate Admissions at Cornell,Undergrad (Study Abroad),"Technology,Engineering,Business",Full Tuition Support,15-03-2027,https://admissions.cornell.edu
126,Aditya Birla Capital Scholarship - 2032,Aditya Birla Capital Foundation,Class 9 to Undergrad,Class 9 to Undergrad,Social Impact,"Up to Rs. 60,000",30-09-2026,https://www.adityabirlacapital.com
127,L'Oréal India For Young Women In Science Scholarship - 2032,L'Oréal India,Class 12 Girls (Science),Class 12 (Girls),"Science,Research","Rs. 2,50,000 for graduation",15-10-2026,https://www.foryoungwomeninscience.co.in
128,Dr. Ambedkar Post Matric Scholarship for EBC Students - 2032,Ministry of Social Justice,EBC Postgraduate/Undergrad,Undergrad/Postgrad,"Government Jobs,Social Impact",Maintenance allowance and fees reimbursed,30-11-2026,https://scholarships.gov.in
129,Sitaram Jindal Foundation Scholarship - 2032,Sitaram Jindal Foundation,"Class 11 to Postgrad, ITI, Diploma",Class 11 to Postgrad,Social Impact,"Up to Rs. 3,200 / month",31-12-2026,https://sitaramjindalfoundation.org
130,INSPIRE Scholarship (SHE) - 2032,"DST, Govt of India",Class 12 Top 1% students in Board,B.Sc/Int. M.Sc,"Research,Science","Rs. 80,000 / year",31-12-2026,https://online-inspire.gov.in
131,AICTE Pragati Scholarship for Girl Students - 2032,AICTE,First Year Degree/Diploma Girls,B.Tech/Diploma,"Engineering,Technology","Rs. 50,000 / year",30-11-2026,https://www.aicte-india.org
132,Adobe India Women in Technology Scholarship - 2032,Adobe India,Undergraduate CSE/ECE Girls,B.Tech/BE (CSE/ECE),"Technology,AI/ML",Tuition fees + Intern interview,15-11-2026,https://www.adobe.com
